Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Active;Consideration;Feb-26;Instagram;Micro;Alvinwardhana;Lifestyle;https://www.instagram.com/reel/DVfzjRniZY8/?igsh=MW9vdnIydDRldXdtYQ==;;;11397;3475000;1718;2747;135;5;8;1,30%;5,39%;24,10%;1265,016382
Health Supplement;Enervon;Enervon Active;Consideration;Feb-26;TikTok;Macro;rrfebryl;Lifestyle;https://vt.tiktok.com/ZSu1dSrG5/;;;262100;12375000;20700;24714;1638;13;3;0,63%;6,69%;9,43%;500,7283321
Health Supplement;Enervon;Enervon Active;Consideration;Feb-26;TikTok;Macro;youtsmedia;Lifestyle;https://vt.tiktok.com/ZSuDUh3n2/;;;250700;39600000;26000;30000;829;17;133;0,39%;3,26%;11,97%;1320
Health Supplement;Enervon;Enervon Active;Consideration;Feb-26;TikTok;Macro;dionharyadi;Health;https://www.tiktok.com/@dionharyadi/video/7612624093044542741;;;486300;27600000;4300;4703;206;5;10;0,05%;4,70%;0,97%;5868,594514
Health Supplement;Enervon;Enervon Active;Consideration;Jan-26;TikTok;Macro;Syaharanie Putri;Lifestyle;https://vt.tiktok.com/ZSmerbyd7/;;;404600;45154639;150100;171399;8331;19;191;2,11%;4,98%;42,36%;263,4475055
Health Supplement;Enervon;Enervon Active;Consideration;Jan-26;TikTok;Macro;Misya and Piyo;Lifestyle;https://vt.tiktok.com/ZSme6dmgr/;;;259600;20000000;32200;34557;1329;5;19;0,52%;3,92%;13,31%;578,7539428
Health Supplement;Enervon;Enervon Active;Consideration;Jan-26;TikTok;Mega;BTR Rachel;Lifestyle;https://vt.tiktok.com/ZSuXVG51K/;;;1800000;55000000;158700;158700;4386;21;113;0,25%;2,85%;8,82%;346,5658475
Health Supplement;Enervon;Enervon Active;Consideration;Jan-26;Instagram;Micro;Surya Lee & Marisya;Lifestyle;https://www.instagram.com/reel/DUibjlwk4H0/?igsh=MWpzdDJkMzJsMTltMw==;;;13000;44000000;1894455;2765176;100;15;2;0,90%;0,00%;21270,58%;15,91218787
Health Supplement;Enervon;Enervon Active;Consideration;Mar-26;TikTok;Micro;Tiaralincia;Lifestyle;https://vt.tiktok.com/ZSuRof6t9/;;;11600;2480000;1000;1259;83;2;4;0,77%;7,07%;10,85%;1969,817315
Health Supplement;Enervon;Enervon Active;Consideration;Mar-26;TikTok;Micro;Nadiraamd;Lifestyle;https://vt.tiktok.com/ZSu6qv79H/;;;58400;9900000;8100;8950;309;1;1;0,53%;3,47%;15,33%;1106,145251
Health Supplement;Enervon;Enervon Active;Consideration;Mar-26;TikTok;Micro;okiariski_;Lifestyle;https://vt.tiktok.com/ZSmwPN3y5/;;;88700;5280000;9900;19301;508;14;20;0,61%;2,81%;21,76%;273,5609554
Health Supplement;Enervon;Enervon Active;Consideration;Mar-26;TikTok;Micro;ceritacete;Lifestyle;https://vt.tiktok.com/ZSmKyThgL/;;;64000;18375000;55300;55754;5070;21;13;7,98%;9,15%;87,12%;329,5727661
Health Supplement;Enervon;Enervon Fizz;Consideration;Apr-26;TikTok;Micro;akhmadhaidar09;Lifestyle;https://vt.tiktok.com/ZS9PRseKH/;;;33300;1320000;1116;1116;27;2;5;0,10%;3,05%;3,35%;1182,795699
Health Supplement;Enervon;Enervon Fizz;Consideration;Apr-26;TikTok;Macro;murtwis01;Lifestyle;https://www.tiktok.com/@murtiws01/video/7634847738034654484?lang=en;;;577500;24750000;28400;28400;2055;21;11;0,36%;7,35%;4,92%;871,4788732
Health Supplement;Enervon;Enervon Fizz;Consideration;Feb-26;TikTok;Mega;dinda_ans;Lifestyle;https://vt.tiktok.com/ZSu6hGEDU/;;;12400000;23925000;100300;110473;5028;20;18;0,04%;4,59%;0,89%;216,5687544
